,city,destination,city_geo,destination_geo,2017_miles,2017_fare,2017_fare_low,carrier_low_2017,2017_cpm,passengers_2017,2016_miles,2016_fare,2016_fare_low,carrier_low_2016,2016_cpm,passengers_2016,cpm_change,fare_change
157,"Atlanta, GA (Metropolitan Area)","Salt Lake City, UT","['(33.748547', ' -84.391502)']","['(40.758478', ' -111.888142)']",1590,295.04,$108.92 ,F9,0.18555974842767298,683,1590,308.77,$127.09 ,F9,0.1941949685534591,585,-0.04446675518994704,-0.04446675518994709
158,"Charlotte, NC","Houston, TX","['(35.222936', ' -80.840161)']","['(29.760803', ' -95.369506)']",920,205.17,$177.18 ,WN,0.22301086956521737,724,920,253.2,$213.34 ,WN,0.2752173913043478,607,-0.1896919431279621,-0.1896919431279621
159,"Oklahoma City, OK","Seattle, WA","['(35.468494', ' -97.521264)']","['(47.603229', ' -122.33028)']",1519,236.52,$208.51 ,WN,0.15570770243581303,242,1519,228.82,$205.79 ,WN,0.1506385780118499,235,0.03365090464120262,0.03365090464120277
160,"Los Angeles, CA (Metropolitan Area)","New Orleans, LA","['(34.052238', ' -118.243344)']","['(29.950621', ' -90.074948)']",1670,218.59,$114.11 ,NK,0.13089221556886227,1783,1670,227.45,$125.75 ,NK,0.13619760479041915,1588,-0.03895361617938003,-0.03895361617938002
161,"Atlanta, GA (Metropolitan Area)","Houston, TX","['(33.748547', ' -84.391502)']","['(29.760803', ' -95.369506)']",696,174.57,$157.09 ,WN,0.25081896551724137,2054,696,175.49,$157.25 ,WN,0.25214080459770116,2109,-0.005242463958060394,-0.005242463958060379
162,"Portland, OR","Tampa, FL (Metropolitan Area)","['(45.516018', ' -122.681425)']","['(37.8606', ' -78.804199)']",2497,276.92,$246.98 ,WN,0.11090108129755707,213,2497,290.7,$272.28 ,WN,0.11641970364437325,197,-0.047402820777433734,-0.047402820777433685
163,"Albuquerque, NM","Seattle, WA","['(35.084248', ' -106.649241)']","['(47.603229', ' -122.33028)']",1180,201.89,$191.89 ,AS,0.17109322033898303,372,1180,188.08,$175.53 ,AS,0.15938983050847458,380,0.07342620161633331,0.07342620161633333
164,"Hartford, CT","Orlando, FL","['(41.765775', ' -72.673356)']","['(28.538331', ' -81.378879)']",1050,175.4,$173.81 ,WN,0.16704761904761906,1430,1050,169.91,$163.16 ,WN,0.1618190476190476,1509,0.03231122358895895,0.032311223588958916
165,"Denver, CO","Philadelphia, PA","['(39.738453', ' -104.984853)']","['(39.951061', ' -75.16562)']",1558,214.88,$110.26 ,F9,0.1379204107830552,1564,1558,196.62,$109.55 ,F9,0.1262002567394095,1507,0.09286949445631175,0.09286949445631162
166,"Nashville, TN","New York City, NY (Metropolitan Area)","['(36.166687', ' -86.779932)']","['(40.123164', ' -75.333718)']",803,229.75,$203.97 ,WN,0.2861145703611457,2297,803,226.52,$197.39 ,WN,0.28209215442092156,1997,0.01425922655836116,0.014259226558361246
167,"Atlantic City, NJ","Orlando, FL","['(33.748547', ' -84.391502)']","['(28.538331', ' -81.378879)']",852,89.63,$89.63 ,NK,0.10519953051643192,400,852,87.73,$87.73 ,NK,0.10296948356807512,398,0.02165735780234813,0.021657357802348016
168,"Miami, FL (Metropolitan Area)","San Antonio, TX","['(44.977479', ' -93.264346)']","['(29.425173', ' -98.494599)']",1145,232.22,$200.48 ,WN,0.2028122270742358,319,1145,203.36,$198.09 ,WN,0.17760698689956333,356,0.14191581431943334,0.14191581431943343
169,"New York City, NY (Metropolitan Area)","San Diego, CA","['(40.123164', ' -75.333718)']","['(32.71576', ' -117.163817)']",2481,320.87,$254.19 ,AS,0.12933091495364774,2560,2481,325.74,$268.24 ,AS,0.1312938331318017,2250,-0.014950574077485122,-0.014950574077485124
170,"Philadelphia, PA","Raleigh/Durham, NC","['(39.951061', ' -75.16562)']","['(42.673348', ' -72.179683)']",337,162.94,$137.28 ,DL,0.4835014836795252,790,337,188.78,$161.09 ,DL,0.5601780415430268,734,-0.1368789066638416,-0.13687890666384153
171,"Atlanta, GA (Metropolitan Area)","Dayton, OH","['(33.748547', ' -84.391502)']","['(39.760982', ' -84.192203)']",432,236.19,$208.04 ,AA,0.5467361111111111,199,432,219.2,$163.33 ,AA,0.5074074074074074,262,0.07750912408759117,0.07750912408759128
172,"Boise, ID","Spokane, WA","['(43.597772', ' -83.884521)']","['(47.658999', ' -117.425022)']",287,100.09,$94.07 ,WN,0.34874564459930313,400,287,110.57,$102.46 ,WN,0.38526132404181185,309,-0.09478158632540475,-0.09478158632540463
173,"Indianapolis, IN","Seattle, WA","['(39.76845', ' -86.156212)']","['(47.603229', ' -122.33028)']",1866,270.16,$237.19 ,UA,0.14478027867095392,364,1866,284.67,$158.97 ,UA,0.15255627009646303,283,-0.05097130010187234,-0.050971300101872306
174,"Charlotte, NC","Indianapolis, IN","['(35.222936', ' -80.840161)']","['(39.76845', ' -86.156212)']",427,258.87,$211.04 ,WN,0.6062529274004684,296,427,250.94,$199.16 ,WN,0.5876814988290399,292,0.03160117956483621,0.03160117956483624
175,"Milwaukee, WI","New York City, NY (Metropolitan Area)","['(43.041072', ' -87.909421)']","['(40.123164', ' -75.333718)']",777,187.21,$143.76 ,WN,0.24093951093951094,1155,777,173.76,$131.67 ,WN,0.2236293436293436,1259,0.07740561694290983,0.07740561694290986
176,"Hartford, CT","Tampa, FL (Metropolitan Area)","['(41.765775', ' -72.673356)']","['(37.8606', ' -78.804199)']",1111,182.48,$177.80 ,WN,0.16424842484248425,841,1111,172.98,$167.63 ,WN,0.15569756975697568,842,0.05491964388946711,0.05491964388946699
177,"Denver, CO","Washington, DC (Metropolitan Area)","['(39.738453', ' -104.984853)']","['(38.892062', ' -77.019912)']",1491,246.29,$145.34 ,F9,0.16518443997317236,3632,1491,245.23,$144.68 ,F9,0.16447350771294433,3472,0.004322472780654872,0.004322472780654905
178,"Buffalo, NY","New York City, NY (Metropolitan Area)","['(39.945422', ' -78.64671)']","['(40.123164', ' -75.333718)']",326,141.76,$135.95 ,DL,0.43484662576687116,1697,326,144.71,$140.54 ,DL,0.4438957055214724,1699,-0.020385598783774453,-0.02038559878377456
179,"Atlanta, GA (Metropolitan Area)","Miami, FL (Metropolitan Area)","['(33.748547', ' -84.391502)']","['(44.977479', ' -93.264346)']",594,134.61,$123.76 ,WN,0.22661616161616163,4725,594,123.91,$112.60 ,WN,0.2086026936026936,4366,0.08635299814381417,0.0863529981438142
180,"Denver, CO","Orlando, FL","['(39.738453', ' -104.984853)']","['(28.538331', ' -81.378879)']",1546,174.21,$99.59 ,F9,0.1126843467011643,1936,1546,184.46,$117.48 ,F9,0.11931435963777491,1862,-0.05556760273229972,-0.05556760273229968
